abordagem,run,img_idx,img_counter,number of pixels
ga,1,2715,0,0
ga,1,6816,1,0
ga,1,7760,2,20171
ga,1,1129,3,19531
ga,1,6551,4,0
ga,1,598,5,28627
ga,1,5012,6,0
ga,1,3257,7,0
ga,1,8208,8,7481
ga,1,3253,9,7738
ga,1,2672,10,13951
ga,1,2484,11,0
ga,1,2839,12,0
ga,1,7210,13,0
ga,1,7651,14,0
ga,1,3393,15,61
ga,1,4257,16,0
ga,1,9020,17,0
ga,1,1532,18,0
ga,1,3833,19,0
ga,1,9656,20,23546
ga,1,978,21,0
ga,1,8956,22,19125
ga,1,9201,23,0
ga,1,860,24,0
ga,1,6253,25,18235
ga,1,9571,26,0
ga,1,4837,27,0
ga,1,5073,28,0
ga,1,9019,29,0
ga,1,946,30,0
ga,1,2607,31,0
ga,1,6170,32,0
ga,1,9992,33,0
ga,1,1800,34,0
ga,1,6513,35,0
ga,1,5973,36,0
ga,1,7191,37,54
ga,1,7464,38,11158
ga,1,4928,39,0
ga,1,9354,40,0
ga,1,3033,41,0
ga,1,2825,42,26580
ga,1,6587,43,21287
ga,1,9290,44,0
ga,1,4017,45,0
ga,1,772,46,0
ga,1,9242,47,0
ga,1,2692,48,243
ga,1,626,49,0
ga,1,6633,50,58
ga,1,2439,51,0
ga,1,2576,52,4459
ga,1,7016,53,9
ga,1,9335,54,0
ga,1,7545,55,0
ga,1,1154,56,0
ga,1,9733,57,9
ga,1,8867,58,0
ga,1,9238,59,0
ga,1,8485,60,0
ga,1,5051,61,76
ga,1,4690,62,0
ga,1,878,63,0
ga,1,3436,64,16677
ga,1,5025,65,0
ga,1,9456,66,0
ga,1,1584,67,16538
ga,1,1262,68,10
ga,1,816,69,77
ga,1,6437,70,27
ga,1,5386,71,0
ga,1,9639,72,0
ga,1,9142,73,0
ga,1,7039,74,0
ga,1,3719,75,0
ga,1,3118,76,0
ga,1,3071,77,0
ga,1,3189,78,0
ga,1,400,79,0
ga,1,6118,80,514
ga,1,6426,81,0
ga,1,2811,82,0
ga,1,336,83,0
ga,1,3119,84,16933
ga,1,8436,85,0
ga,1,7667,86,0
ga,1,2640,87,0
ga,1,6798,88,0
ga,1,6186,89,0
ga,1,3302,90,0
ga,1,8645,91,0
ga,1,7670,92,0
ga,1,8200,93,21643
ga,1,455,94,19432
ga,1,4747,95,0
ga,1,9738,96,0
ga,1,3470,97,0
ga,1,9105,98,18589
ga,1,293,99,15900
ga,1,6187,100,0
ga,1,7595,101,25116
ga,1,9168,102,0
ga,1,7854,103,0
ga,1,458,104,0
ga,1,3931,105,0
ga,1,5131,106,0
ga,1,4332,107,0
ga,1,2374,108,11503
ga,1,5608,109,0
ga,1,6712,110,0
ga,1,5240,111,0
ga,1,7940,112,19534
ga,1,2046,113,12527
ga,1,3402,114,0
ga,1,6072,115,0
ga,1,4898,116,0
ga,1,1170,117,0
ga,1,6987,118,15601
ga,1,9598,119,0
ga,1,6191,120,0
ga,1,7898,121,0
ga,1,1567,122,17838
ga,1,2252,123,0
ga,1,3276,124,0
ga,1,9353,125,13107
ga,1,3201,126,18801
ga,1,8235,127,0
ga,1,8838,128,0
ga,1,34,129,0
ga,1,4453,130,0
ga,1,2393,131,11649
ga,1,6708,132,0
ga,1,464,133,9496
ga,1,4645,134,16419
ga,1,834,135,27149
ga,1,8802,136,0
ga,1,5351,137,0
ga,1,7832,138,0
ga,1,1927,139,0
ga,1,8894,140,0
ga,1,8455,141,0
ga,1,569,142,12462
ga,1,1518,143,18806
ga,1,9377,144,0
ga,1,9188,145,0
ga,1,9425,146,0
ga,1,4509,147,0
ga,1,6366,148,160
ga,1,7501,149,0
ga,1,2185,150,25554
ga,1,8751,151,31131
ga,1,6636,152,0
ga,1,760,153,13346
ga,1,4902,154,15447
ga,1,4005,155,16680
ga,1,6850,156,0
ga,1,8510,157,0
ga,1,576,158,0
ga,1,1475,159,0
ga,1,3680,160,0
ga,1,4790,161,21057
ga,1,5442,162,0
ga,1,7150,163,19681
ga,1,1128,164,11247
ga,1,4805,165,15
ga,1,1062,166,0
ga,1,2732,167,0
ga,1,9130,168,0
ga,1,2279,169,0
ga,1,2160,170,12146
ga,1,8772,171,0
ga,1,9423,172,0
ga,1,2646,173,26
ga,1,3203,174,0
ga,1,2915,175,0
ga,1,8414,176,0
ga,1,4064,177,0
ga,1,5747,178,21
ga,1,6374,179,0
ga,1,584,180,0
ga,1,3485,181,5879
ga,1,342,182,0
ga,1,695,183,0
ga,1,3822,184,0
ga,1,9661,185,19328
ga,1,8534,186,0
ga,1,8237,187,0
ga,1,1856,188,0
ga,1,3288,189,0
ga,1,473,190,7212
ga,1,2450,191,0
ga,1,2332,192,0
ga,1,3674,193,0
ga,1,9187,194,10
ga,1,168,195,4765
ga,1,5561,196,0
ga,1,1602,197,0
ga,1,5531,198,0
ga,1,1808,199,0
ga,1,560,200,0
ga,1,8559,201,20783
ga,1,3637,202,25454
ga,1,8824,203,15345
ga,1,227,204,0
ga,1,5823,205,0
ga,1,1781,206,0
ga,1,9651,207,0
ga,1,4621,208,0
ga,1,1384,209,0
ga,1,9749,210,14264
ga,1,7840,211,0
ga,1,9679,212,10610
ga,1,5815,213,23366
ga,1,702,214,11912
ga,1,7713,215,0
ga,1,4150,216,0
ga,1,6478,217,22554
ga,1,1366,218,0
ga,1,7597,219,0
ga,1,5173,220,14179
ga,1,1621,221,0
ga,1,6589,222,18195
ga,1,1552,223,21920
ga,1,2588,224,0
ga,1,5229,225,18724
ga,1,8365,226,0
ga,1,6388,227,9756
ga,1,3021,228,0
ga,1,6603,229,0
ga,1,5236,230,0
ga,1,1288,231,0
ga,1,5840,232,11799
ga,1,8594,233,0
ga,1,6447,234,28708
ga,1,3432,235,0
ga,1,6398,236,26551
ga,1,4853,237,0
ga,1,8968,238,233
ga,1,4932,239,0
ga,1,2976,240,5516
ga,1,9110,241,0
ga,1,3538,242,0
ga,1,5874,243,29
ga,1,3292,244,0
ga,1,3268,245,0
ga,1,3179,246,0
ga,1,9599,247,0
ga,1,6296,248,0
ga,1,4410,249,0
ga,1,3823,250,0
ga,1,6806,251,0
ga,1,3473,252,12869
ga,1,9433,253,23064
ga,1,7381,254,0
ga,1,2988,255,8750
ga,1,501,256,0
ga,1,7732,257,0
ga,1,7459,258,0
ga,1,4737,259,0
ga,1,4216,260,0
ga,1,5090,261,23602
ga,1,2984,262,0
ga,1,5161,263,6086
ga,1,2353,264,0
ga,1,7608,265,0
ga,1,7817,266,0
ga,1,9313,267,13
ga,1,196,268,0
ga,1,3805,269,0
ga,1,5382,270,0
ga,1,4831,271,0
ga,1,3313,272,0
ga,1,1386,273,0
ga,1,2134,274,16108
ga,1,1362,275,0
ga,1,1143,276,0
ga,1,3269,277,0
ga,1,8507,278,23484
ga,1,9594,279,31620
ga,1,423,280,14354
ga,1,6972,281,0
ga,1,2464,282,20522
ga,1,8257,283,0
ga,1,9035,284,0
ga,1,5969,285,0
ga,1,9727,286,17212
ga,1,3894,287,0
ga,1,9867,288,17619
ga,1,625,289,0
ga,1,7038,290,10048
ga,1,8222,291,0
ga,1,9030,292,29
ga,1,6293,293,11836
ga,1,2030,294,0
ga,1,6927,295,14832
ga,1,5421,296,0
ga,1,375,297,0
ga,1,1264,298,0
ga,1,443,299,0
ga,1,6476,300,0
ga,1,4978,301,0
ga,1,2513,302,0
ga,1,4094,303,29822
ga,1,9047,304,0
ga,1,4224,305,0
ga,1,8464,306,0
ga,1,7567,307,0
ga,1,1613,308,0
ga,1,2307,309,0
ga,1,2833,310,0
ga,1,3091,311,10687
ga,1,6335,312,0
ga,1,9839,313,19646
ga,1,1233,314,94
